,# of blocks,,distance,,# of blocks,,distance,,product,total blocks
1,1,x,2,=,2,x,1,=,2,3
2,1,x,4,=,2,x,2,=,4,3
3,1,x,6,=,2,x,3,=,6,3
4,1,x,8,=,2,x,4,=,8,3
5,1,x,10,=,2,x,5,=,10,3
6,1,x,12,=,2,x,6,=,12,3
7,1,x,14,=,2,x,7,=,14,3
8,1,x,16,=,2,x,8,=,16,3
9,1,x,18,=,2,x,9,=,18,3
10,1,x,20,=,2,x,10,=,20,3
11,1,x,3,=,3,x,1,=,3,4
12,1,x,6,=,3,x,2,=,6,4
13,1,x,9,=,3,x,3,=,9,4
14,1,x,12,=,3,x,4,=,12,4
15,1,x,15,=,3,x,5,=,15,4
16,1,x,18,=,3,x,6,=,18,4
17,1,x,4,=,4,x,1,=,4,5
18,1,x,8,=,4,x,2,=,8,5
19,1,x,12,=,4,x,3,=,12,5
20,1,x,16,=,4,x,4,=,16,5
21,1,x,20,=,4,x,5,=,20,5
22,1,x,5,=,5,x,1,=,5,6
23,1,x,10,=,5,x,2,=,10,6
24,1,x,15,=,5,x,3,=,15,6
25,1,x,20,=,5,x,4,=,20,6
26,1,x,6,=,6,x,1,=,6,7
27,1,x,12,=,6,x,2,=,12,7
28,1,x,18,=,6,x,3,=,18,7
29,1,x,7,=,7,x,1,=,7,8
30,1,x,14,=,7,x,2,=,14,8
31,2,x,3,=,3,x,2,=,6,5
32,2,x,6,=,3,x,4,=,12,5
33,2,x,9,=,3,x,6,=,18,5
34,2,x,12,=,3,x,8,=,24,5
35,2,x,15,=,3,x,10,=,30,5
36,2,x,18,=,3,x,12,=,36,5
37,2,x,2,=,4,x,1,=,4,6
38,2,x,4,=,4,x,2,=,8,6
39,2,x,6,=,4,x,3,=,12,6
40,2,x,8,=,4,x,4,=,16,6
41,2,x,10,=,4,x,5,=,20,6
42,2,x,12,=,4,x,6,=,24,6
43,2,x,14,=,4,x,7,=,28,6
44,2,x,16,=,4,x,8,=,32,6
45,2,x,18,=,4,x,9,=,36,6
46,2,x,20,=,4,x,10,=,40,6
47,2,x,5,=,5,x,2,=,10,7
48,2,x,10,=,5,x,4,=,20,7
49,2,x,15,=,5,x,6,=,30,7
50,2,x,20,=,5,x,8,=,40,7
51,2,x,3,=,6,x,1,=,6,8
52,2,x,6,=,6,x,2,=,12,8
53,2,x,9,=,6,x,3,=,18,8
54,2,x,12,=,6,x,4,=,24,8
55,2,x,15,=,6,x,5,=,30,8
56,2,x,18,=,6,x,6,=,36,8
57,3,x,4,=,4,x,3,=,12,7
58,3,x,8,=,4,x,6,=,24,7
59,3,x,12,=,4,x,9,=,36,7
60,3,x,16,=,4,x,12,=,48,7
61,3,x,20,=,4,x,15,=,60,7
62,3,x,5,=,5,x,3,=,15,8
63,3,x,10,=,5,x,6,=,30,8
64,3,x,15,=,5,x,9,=,45,8
65,3,x,20,=,5,x,12,=,60,8